decile,exposure,predicted,true,observed
1,2628.8218,76.77441787564224,76.61535284620362,66.96270930193899
2,2643.2617,99.96922951535025,100.5413181462573,118.29303545691295
3,2643.73,117.70804984519057,119.3539460166351,110.18720898124997
4,2636.0452,134.36742460061214,135.29860592625633,133.71029449722639
5,2643.5962,153.6420003471479,156.17100871027142,138.62859993519433
6,2649.7983,177.70999870726564,180.72584274035458,149.25354129784145
7,2626.0713,208.42519151227685,212.17582500843537,192.04694480305997
8,2637.8815,256.5074680845859,260.9648808328605,238.18359922536322
9,2619.9798,339.17802942759954,342.2067510768701,325.8167486634821
10,2647.143,676.616251776458,693.8206996706016,675.412310555191
